"id","poj_unicode","poj_input","kiplmj_unicode","kiplmj_input","hanlo_taibun_poj","hanlo_taibun_kip","hoabun","from"
"7891","téng khang tàu ē khang","teng2 khang tau3 e7 khang","tíng khang tàu ē khang","ting2 khang tau3 e7 khang","頂空鬥下空","頂空鬥下空","上下其手","Chenwujack Chen"
"7892","téng-chhiú tàu ē-chhiú","teng2-chhiu2 tau3 e7-chhiu2","tíng-tshiú tàu ē-tshiú","ting2-tshiu2 tau3 e7-tshiu2","頂手鬥下手","頂手鬥下手","上下其手","Chenwujack Chen"
"7893","chiūⁿ-chiūⁿ-lo̍h-lo̍h","chiunn7-chiunn7-loh8-loh8","tsiūnn-tsiūnn-lo̍h-lo̍h","tsiunn7-tsiunn7-loh8-loh8","上上落落","上上落落","上上下下","Chenwujack Chen"
"7894","khí-khí-lo̍h-lo̍h","khi2-khi2-loh8-loh8","khí-khí-lo̍h-lo̍h","khi2-khi2-loh8-loh8","起起落落","起起落落","上上下下","Chenwujack Chen"
"7895","téng-téng-ē-ē","teng2-teng2-e7-ē","tíng-tíng-ē-ē","ting2-ting2-e7-ē","頂頂下下","頂頂下下","上上下下","Chenwujack Chen"
"7896","thâu-bīn-téng-pah","thau5-bin7-teng2-pah","thâu-bīn-tíng-pah","thau5-bin7-ting2-pah","頭面頂百","頭面頂百","上上之選","Chenwujack Chen"
"7897","téng-téng-kò-goe̍h","teng2-teng2-ko3-goeh8","tíng-tíng-kò-gue̍h","ting2-ting2-ko3-gueh8","頂頂個月","頂頂個月","上上月","Chenwujack Chen"
"7898","téng-téng-kò-goe̍h","teng2-teng2-ko3-goeh8","tíng-tíng-kò-gue̍h","ting2-ting2-ko3-gueh8","頂頂個月","頂頂個月","上上個月","Chenwujack Chen"
"7899","khiâ-hó͘ iông-ī hā hó͘ lân","khia5-hoo2 iong5-i7 ha7 hoo2 lan5","khiâ-hóo iông-ī hā hóo lân","khia5-hoo2 iong5-i7 ha7 hoo2 lan5","騎虎容易下虎難","騎虎容易下虎難","上山容易下山難","Chenwujack Chen"
"7900","hòe-thâu ū ah","hoe3-thau5 u7 ah","huè-thâu ū ah","hue3-thau5 u7 ah","歲頭有矣","歲頭有矣","上年紀","Chenwujack Chen"
"7901","siōng put chèng chek hā oai","siong7 put cheng3 chek ha7 oai","siōng put tsìng tsik hā uai","siong7 put tsing3 tsik ha7 uai","上不正即下歪","上不正即下歪","上行下效","Chenwujack Chen"
"7902","tōa káu pôaⁿ chhiûⁿ,sè káu thàn iūⁿ","toa7 kau2 poann5 chhiunn5,se3 kau2 than3 iunn7","tuā káu puânn tshiûnn,sè káu thàn iūnn","tua7 kau2 puann5 tshiunn5,se3 kau2 than3 iunn7","大狗盤牆，細狗趁樣","大狗盤牆，細狗趁樣","上行下效","Chenwujack Chen"
"7903","peh-kiā","peh-kia7","peh-kiā","peh-kia7","𬦰崎","𬦰崎","上坡","Chenwujack Chen"
"7904","chêng khùi chiap bē tio̍h āu khùi","cheng5 khui3 chiap be7 tioh8 au7 khui3","tsîng khuì tsiap bē tio̍h āu khuì","tsing5 khui3 tsiap be7 tioh8 au7 khui3","前氣接袂著後氣","前氣接袂著後氣","上氣不接下氣","Chenwujack Chen"
"7905","piak-hì-bûn","piak-hi3-bun5","piak-hì-bûn","piak-hi3-bun5","煏戲文","煏戲文","劇透","Seng-hian Lau"
"7906","lia̍h-kòe-bé","liah8-koe3-be2","lia̍h-kuè-bé","liah8-kue3-be2","掠過馬","掠過馬","上大當","Chenwujack Chen"
"7907","ji̍h-tiàu","jih8-tiau3","ji̍h-tiàu","jih8-tiau3","揤吊","揤吊","上吊","Chenwujack Chen"
"7908","koan iú chèng-tiâu,bîn iú su-iok","koan iu2 cheng3-tiau5,bin5 iu2 su-iok","kuan iú tsìng-tiâu,bîn iú su-iok","kuan iu2 tsing3-tiau5,bin5 iu2 su-iok","官有正條，民有私約","官有正條，民有私約","上有政策，下有對策","Chenwujack Chen"
"7909","téng-tûn","teng2-tun5","tíng-tûn","ting2-tun5","頂脣","頂脣","上唇","Chenwujack Chen"
"7910","tōa-khùi chhoán bē lī","toa7-khui3 chhoan2 be7 li7","tuā-khuì tshuán bē lī","tua7-khui3 tshuan2 be7 li7","大氣喘袂離","大氣喘袂離","上氣不接下氣","Chenwujack Chen"
"7911","téng khùi chiap bē tio̍h ē khùi","teng2 khui3 chiap be7 tioh8 e7 khui3","tíng khuì tsiap bē tio̍h ē khuì","ting2 khui3 tsiap be7 tioh8 e7 khui3","頂氣接袂著下氣","頂氣接袂著下氣","上氣不接下氣","Chenwujack Chen"
"7912","chia̍h-thâu-lō͘ lâng","chiah8-thau5-loo7 lang5","tsia̍h-thâu-lōo lâng","tsiah8-thau5-loo7 lang5","食頭路人","食頭路人","上班族","Chenwujack Chen"
"7913","siōng- ùi","siong7- ui3","siōng- uì","siong7- ui3","上尉","上尉","上尉","Chenwujack Chen"
"7914","piak-hì-bûn","piak-hi3-bun5","piak-hì-bûn","piak-hi3-bun5","煏戲文","煏戲文","爆雷","Seng-hian Lau"
"7915","ē pí-phēng tit","e7 pi2-pheng7 tit","ē pí-phīng tit","e7 pi2-phing7 tit","會比並得","會比並得","上得了台面","Chenwujack Chen"
"7916","pâi ū seⁿ-siùⁿ","pai5 u7 senn-siunn3","pâi ū senn-siùnn","pai5 u7 senn-siunn3","排有生相","排有生相","上得了台面","Chenwujack Chen"
"7917","ē kìⁿ tit lâng chèng","e7 kinn3 tit lang5 cheng3","ē kìnn tit lâng tsìng","e7 kinn3 tit lang5 tsing3","會見得人眾","會見得人眾","上得了台面","Chenwujack Chen"
"7918","ē kìⁿ chèng tit","e7 kinn3 cheng3 tit","ē kìnn tsìng tit","e7 kinn3 tsing3 tit","會見眾得","會見眾得","上得了台面","Chenwujack Chen"
"7919","ē khòaⁿ kháu tit","e7 khoann3 khau2 tit","ē khuànn kháu tit","e7 khuann3 khau2 tit","會看口得","會看口得","上得了台面","Chenwujack Chen"
"7920","ē pâi tôaⁿ tit","e7 pai5 toann5 tit","ē pâi tuânn tit","e7 pai5 tuann5 tit","會排壇直","會排壇直","上得了台面","Chenwujack Chen"
"7921","siōng put chèng chek hā oai","siong7 put cheng3 chek ha7 oai","siōng put tsìng tsik hā uai","siong7 put tsing3 tsik ha7 uai","上不正即下歪","上不正即下歪","上梁不正下梁歪","Chenwujack Chen"
"7922","tōa káu peh chhiûⁿ,sè káu thàn iūⁿ","toa7 kau2 peh chhiunn5,se3 kau2 than3 iunn7","tuā káu peh tshiûnn,sè káu thàn iūnn","tua7 kau2 peh tshiunn5,se3 kau2 than3 iunn7","大狗𬦰牆，細狗趁樣","大狗𬦰牆，細狗趁樣","上梁不正下梁歪","Chenwujack Chen"
"7923","sī-tōa bô hó iūⁿ,sī-sè thó hôe-siūⁿ","si7-toa7 bo5 ho2 iunn7,si7-se3 tho2 hoe5-siunn7","sī-tuā bô hó iūnn,sī-sè thó huê-siūnn","si7-tua7 bo5 ho2 iunn7,si7-se3 tho2 hue5-siunn7","序大無好樣，序細討和尚","序大無好樣，序細討和尚","上梁不正下梁歪","Chenwujack Chen"
"7924","ba̍k-ham","bak8-ham","ba̍k-ham","bak8-ham","目蚶","目蚶","上眼皮","Chenwujack Chen"
"7925","teh bōng chóa","teh bong7 choa2","teh bōng tsuá","teh bong7 tsua2","硩墓紙","硩墓紙","上墳","Chenwujack Chen"
"7926","chiuⁿ ám","chiunn am2","tsiunn ám","tsiunn am2","漿泔","漿泔","上漿","Chenwujack Chen"
"7927","chia̍h tiâu leh","chiah8 tiau5 leh","tsia̍h tiâu leh","tsiah8 tiau5 leh","食牢咧","食牢咧","上癮","Chenwujack Chen"
"7928","âng-bah siang -kòe","ang5-bah siang -koe3","âng-bah siang -kuè","ang5-bah siang -kue3","紅肉雙髻","紅肉雙髻","丫髻鮫","Chenwujack Chen"
"7929","cha-bó͘ kúi-á","cha-boo2 kui2-á","tsa-bóo kuí-á","tsa-boo2 kui2-á","查某鬼仔","查某鬼仔","丫頭","Chenwujack Chen"
"7930","cha-bó͘- kán -á","cha-boo2- kan2 -á","tsa-bóo- kán -á","tsa-boo2- kan2 -á","查某𡢃仔","查某𡢃仔","丫頭","Chenwujack Chen"
"7931","kán-pī","kan2-pi7","kán-pī","kan2-pi7","𡢃婢","𡢃婢","丫頭","Chenwujack Chen"
"7932","iông-hu-sio̍k-chú","iong5-hu-siok8-chu2","iông-hu-sio̍k-tsú","iong5-hu-siok8-tsu2","庸夫俗子","庸夫俗子","凡夫俗子","Chenwujack Chen"
"7933","chho͘-hu-sio̍k-chú","chhoo-hu-siok8-chu2","tshoo-hu-sio̍k-tsú","tshoo-hu-siok8-tsu2","粗夫俗子","粗夫俗子","凡夫俗子","Chenwujack Chen"
"7934","sè-kan sū hō͘ lí bē gâu tit","se3-kan su7 hoo7 li2 be7 gau5 tit","sè-kan sū hōo lí bē gâu tit","se3-kan su7 hoo7 li2 be7 gau5 tit","世間事予你袂𠢕得","世間事予你袂𠢕得","凡事不可逞強","Chenwujack Chen"
"7935","sī m̄ sī,mē ka-tī","si7 m7 si7,me7 ka-ti7","sī m̄ sī,mē ka-tī","si7 m7 si7,me7 ka-ti7","是毋是，罵家己","是毋是，罵家己","凡事要先反求諸己","Chenwujack Chen"
"7936","iú sè put-khóchīn-liōng","iu2 se3 put-khóchin7-liong7","iú sè put-khótsīn-liōng","iu2 se3 put-khótsin7-liong7","有勢不可盡量","有勢不可盡量","凡事要留餘地","Chenwujack Chen"
"7937","jîn-chêng lâu chi̍t-pòaⁿ,āu--ji̍t hó sio khòaⁿ","jin5-cheng5 lau5 chit8-poann3,au7--jit8 ho2 sio khoann3","jîn-tsîng lâu tsi̍t-puànn,āu--ji̍t hó sio khuànn","jin5-tsing5 lau5 tsit8-puann3,au7--jit8 ho2 sio khuann3","人情留一半，後日好相看","人情留一半，後日好相看","凡事要留餘地","Chenwujack Chen"
"7938","ū hong m̄-thang sái chīn phâng","u7 hong m7-thang sai2 chin7 phang5","ū hong m̄-thang sái tsīn phâng","u7 hong m7-thang sai2 tsin7 phang5","有風毋通駛盡帆","有風毋通駛盡帆","凡事要留餘地","Chenwujack Chen"
"7939","chi̍t tn̄g thûi tio̍h lâu saⁿ chhioh āu","chit8 tng7 thui5 tioh8 lau5 sann chhioh au7","tsi̍t tn̄g thuî tio̍h lâu sann tshioh āu","tsit8 tng7 thui5 tioh8 lau5 sann tshioh au7","一丈槌著留三尺後","一丈槌著留三尺後","凡事要留餘地","Chenwujack Chen"
"7940","pah-poaⁿ khí-thâu lân","pah-poann khi2-thau5 lan5","pah-puann khí-thâu lân","pah-puann khi2-thau5 lan5","百般起頭難","百般起頭難","凡事起頭難","Chenwujack Chen"
"7941","chhài ū chi̍t in,chháu ū chi̍t cháng","chhai3 u7 chit8 in,chhau2 u7 chit8 chang2","tshài ū tsi̍t in,tsháu ū tsi̍t tsáng","tshai3 u7 tsit8 in,tshau2 u7 tsit8 tsang2","菜有一絪，草有一摠","菜有一絪，草有一摠","凡事都有源頭","Chenwujack Chen"
"7942","sè-kan sū,tāi-lí kài","se3-kan su7,tai7-li2 kai3","sè-kan sū,tāi-lí kài","se3-kan su7,tai7-li2 kai3","世間事，大理概","世間事，大理概","凡事認不得真","Chenwujack Chen"
"7943","sè-kan sū,bóng chhìn-chhái","se3-kan su7,bong2 chhin3-chhai2","sè-kan sū,bóng tshìn-tshái","se3-kan su7,bong2 tshin3-tshai2","世間事，罔凊彩","世間事，罔凊彩","凡事認不得真","Chenwujack Chen"
"7944","ū chia̍h ū kiâⁿ-khì,ū sio-hiuⁿ ū pó-pì","u7 chiah8 u7 kiann5-khi3,u7 sio-hiunn u7 po2-pi3","ū tsia̍h ū kiânn-khì,ū sio-hiunn ū pó-pì","u7 tsiah8 u7 kiann5-khi3,u7 sio-hiunn u7 po2-pi3","有食有行氣，有燒香有保庇","有食有行氣，有燒香有保庇","凡事豫則立，不豫則廢","Chenwujack Chen"
"7945","siap káu ji̍t o͘,chhut tōa ji̍t-thâu","siap kau2 jit8 oo,chhut toa7 jit8-thau5","siap káu ji̍t oo,tshut tuā ji̍t-thâu","siap kau2 jit8 oo,tshut tua7 jit8-thau5","卌九日烏，出大日頭","卌九日烏，出大日頭","久雨乍晴","Chenwujack Chen"
"7946","kú-tn̂g-pēⁿ,bô hàu-chú","ku2-tng5-penn7,bo5 hau3-chu2","kú-tn̂g-pēnn,bô hàu-tsú","ku2-tng5-penn7,bo5 hau3-tsu2","久長病，無孝子","久長病，無孝子","久病無孝子","Chenwujack Chen"
"7947","kiáu ē poa̍h,sái mā ē chia̍h tit","kiau2 e7 poah8,sai2 ma7 e7 chiah8 tit","kiáu ē pua̍h,sái mā ē tsia̍h tit","kiau2 e7 puah8,sai2 ma7 e7 tsiah8 tit","筊會跋，屎嘛會食得","筊會跋，屎嘛會食得","久賭神仙輸","Chenwujack Chen"
"7948","kiáu beh poa̍h,sian thàn to bē khùiⁿ-oa̍h","kiau2 beh poah8,sian than3 to be7 khuinn3-oah8","kiáu beh pua̍h,sian thàn to bē khuìnn-ua̍h","kiau2 beh puah8,sian than3 to be7 khuinn3-uah8","筊欲跋，仙趁都袂快活","筊欲跋，仙趁都袂快活","久賭神仙輸","Chenwujack Chen"
"7949","pîn jī tham jī khak,tó͘ jī tham jī sim","pin5 ji7 tham ji7 khak,too2 ji7 tham ji7 sim","pîn jī tham jī khak,tóo jī tham jī sim","pin5 ji7 tham ji7 khak,too2 ji7 tham ji7 sim","貪字貧字殼，賭字貪字心","貪字貧字殼，賭字貪字心","久賭神仙輸","Chenwujack Chen"
"7950","phah-sǹg","phah-sng3","phah-sǹg","phah-sng3","拍算","拍算","也許","Chenwujack Chen"
"7951","óa mn̂g thê tok","oa2 mng5 the5 tok","uá mn̂g thê tok","ua2 mng5 the5 tok","倚門提督","倚門提督","乞丐","Chenwujack Chen"
"7952","kim-chîⁿ po̍h-hô","kim-chinn5 poh8-ho5","kim-tsînn po̍h-hô","kim-tsinn5 poh8-ho5","金錢薄荷","金錢薄荷","乞食碗","Chenwujack Chen"
"7953","âng kut ham khak chháu","ang5 kut ham khak chhau2","âng kut ham khak tsháu","ang5 kut ham khak tshau2","紅骨蚶殼草","紅骨蚶殼草","乞食碗","Chenwujack Chen"
"7954","hóe kòe chiah pû ō͘","hoe2 koe3 chiah pu5 oo7","hué kuè tsiah pû ōo","hue2 kue3 tsiah pu5 oo7","火過才炰芋","火過才炰芋","亡羊補牢","Chenwujack Chen"
"7955","hóe-chhia kòe liáu chiah pûn pi-á","hoe2-chhia koe3 liau2 chiah pun5 pi-á","hué-tshia kuè liáu tsiah pûn pi-á","hue2-tshia kue3 liau2 tsiah pun5 pi-á","火車過了才歕觱仔","火車過了才歕觱仔","亡羊補牢","Chenwujack Chen"
"7956","chha̍t khì chiah koaiⁿ-mûi","chhat8 khi3 chiah koainn-mui5","tsha̍t khì tsiah kuainn-muî","tshat8 khi3 tsiah kuainn-mui5","賊去才關門","賊去才關門","亡羊補牢","Chenwujack Chen"
"7957","bông-kok lô͘","bong5-kok loo5","bông-kok lôo","bong5-kok loo5","亡國奴","亡國奴","亡國奴","Chenwujack Chen"
"7958","bān to chhùi koah","ban7 to chhui3 koah","bān to tshuì kuah","ban7 to tshui3 kuah","萬刀碎割","萬刀碎割","千刀萬剮","Chenwujack Chen"
"7959","chhian to bān koah","chhian to ban7 koah","tshian to bān kuah","tshian to ban7 kuah","千刀萬割","千刀萬割","千刀萬剮","Chenwujack Chen"
"7960","tâng-chîⁿ chhùi koah","tang5-chinn5 chhui3 koah","tâng-tsînn tshuì kuah","tang5-tsinn5 tshui3 kuah","銅錢碎割","銅錢碎割","千刀萬剮","Chenwujack Chen"
"7961","lō͘-piⁿ ê jiō-ô͘,thong lâng soān","loo7-pinn e5 jio7-oo5,thong lang5 soan7","lōo-pinn ê jiō-ôo,thong lâng suān","loo7-pinn e5 jio7-oo5,thong lang5 suan7","路邊个尿壺，通人漩","路邊个尿壺，通人漩","千夫所指","Chenwujack Chen"
"7962","ēng bô͘ chō kè","eng7 boo5 cho7 ke3","īng bôo tsō kè","ing7 boo5 tso7 ke3","用謀造計","用謀造計","千方百計","Chenwujack Chen"
"7963","siūⁿ khang siūⁿ phāng","siunn7 khang siunn7 phang7","siūnn khang siūnn phāng","siunn7 khang siunn7 phang7","想空想縫","想空想縫","千方百計","Chenwujack Chen"
"7964","kú nî pah chài","ku2 ni5 pah chai3","kú nî pah tsài","ku2 ni5 pah tsai3","久年百載","久年百載","千年萬載","Chenwujack Chen"
"7965","chhian giân bān gí","chhian gian5 ban7 gi2","tshian giân bān gí","tshian gian5 ban7 gi2","千言萬語","千言萬語","千言萬語","Chenwujack Chen"
"7966","kóng chheng kóng bān","kong2 chheng kong2 ban7","kóng tshing kóng bān","kong2 tshing kong2 ban7","講千講萬","講千講萬","千言萬語","Chenwujack Chen"
"7967","chhian lí khu","chhian li2 khu","tshian lí khu","tshian li2 khu","千里駒","千里駒","千里馬","Chenwujack Chen"
"7968","póe chháu chhōe chhin","poe2 chhau2 chhoe7 chhin","pué tsháu tshuē tshin","pue2 tshau2 tshue7 tshin","掰草揣親","掰草揣親","千里尋親","Chenwujack Chen"
"7969","kî kî koài koài","ki5 ki5 koai3 koai3","kî kî kuài kuài","ki5 ki5 kuai3 kuai3","奇奇怪怪","奇奇怪怪","千奇百怪","Chenwujack Chen"
"7970","kó͘-kó͘-koài-koài","koo2-koo2-koai3-koai3","kóo-kóo-kuài-kuài","koo2-koo2-kuai3-kuai3","古古怪怪","古古怪怪","千奇百怪","Chenwujack Chen"
"7971","chhit kî peh koài","chhit ki5 peh koai3","tshit kî peh kuài","tshit ki5 peh kuai3","七奇八怪","七奇八怪","千奇百怪","Chenwujack Chen"
"7972","iâ ko sià ko","ia5 ko sia3 ko","iâ ko sià ko","ia5 ko sia3 ko","爺哥舍哥","爺哥舍哥","千金之子","Chenwujack Chen"
"7973","hó-gia̍h-lâng-kiáⁿ","ho2-giah8-lang5-kiann2","hó-gia̍h-lâng-kiánn","ho2-giah8-lang5-kiann2","好額人囝","好額人囝","千金之子","Chenwujack Chen"
"7974","tiáⁿ-phok","tiann2-phok","tiánn-phok","tiann2-phok","鼎phok","鼎phok","千金藤","Chenwujack Chen"
"7975","tiáⁿ te phok","tiann2 te phok","tiánn te phok","tiann2 te phok","鼎 te phok","鼎 te phok","千金藤","Chenwujack Chen"
"7976","tò-tiàu-hông","to3-tiau3-hong5","tò-tiàu-hông","to3-tiau3-hong5","倒吊癀","倒吊癀","千金藤","Chenwujack Chen"
"7977","chhian su bān sióng","chhian su ban7 siong2","tshian su bān sióng","tshian su ban7 siong2","千思萬想","千思萬想","千思萬想","Chenwujack Chen"
"7978","kú nî bān tāi","ku2 ni5 ban7 tai7","kú nî bān tāi","ku2 ni5 ban7 tai7","久年萬代","久年萬代","千秋萬代","Chenwujack Chen"
"7979","tn̂g-nî kiú oán","tng5-ni5 kiu2 oan2","tn̂g-nî kiú uán","tng5-ni5 kiu2 uan2","長年久遠","長年久遠","千秋萬代","Chenwujack Chen"
"7980","chi̍t bóe liông,khah iâⁿ káu-bó-chôa-á chi̍t-tōa-tui","chit8 boe2 liong5,khah iann5 kau2-bo2-choa5-a2 chit8-toa7-tui","tsi̍t bué liông,khah iânn káu-bó-tsuâ-á tsi̍t-tuā-tui","tsit8 bue2 liong5,khah iann5 kau2-bo2-tsua5-a2 tsit8-tua7-tui","一尾龍，較贏狗母蛇仔一大堆","一尾龍，較贏狗母蛇仔一大堆","千軍易得，一將難求","Chenwujack Chen"
"7981","chhian-chin-bān-khak","chhian-chin-ban7-khak","tshian-tsin-bān-khak","tshian-tsin-ban7-khak","千真萬確","千真萬確","千真萬確","Chenwujack Chen"
"7982","chin tú chin,hiàn tú hiàn","chin tu2 chin,hian3 tu2 hian3","tsin tú tsin,hiàn tú hiàn","tsin tu2 tsin,hian3 tu2 hian3","真拄真，現拄現","真拄真，現拄現","千真萬確","Chenwujack Chen"
"7983","chin tú chin,si̍t tú si̍t","chin tu2 chin,sit8 tu2 sit8","tsin tú tsin,si̍t tú si̍t","tsin tu2 tsin,sit8 tu2 sit8","真拄真，實拄實","真拄真，實拄實","千真萬確","Chenwujack Chen"
"7984","chin tú chin,kiàⁿ tú kiàⁿ","chin tu2 chin,kiann3 tu2 kiann3","tsin tú tsin,kiànn tú kiànn","tsin tu2 tsin,kiann3 tu2 kiann3","真拄真，鏡拄鏡","真拄真，鏡拄鏡","千真萬確","Chenwujack Chen"
"7985","chin chin chiàⁿ chiàⁿ","chin chin chiann3 chiann3","tsin tsin tsiànn tsiànn","tsin tsin tsiann3 tsiann3","真真正正","真真正正","千真萬確","Chenwujack Chen"
"7986","khiā chin khiā hiān","khia7 chin khia7 hian7","khiā tsin khiā hiān","khia7 tsin khia7 hian7","徛真徛現","徛真徛現","千真萬確","Chenwujack Chen"
"7987","si-sòaⁿ tiàu tâng-cheng","si-soann3 tiau3 tang5-cheng","si-suànn tiàu tâng-tsing","si-suann3 tiau3 tang5-tsing","絲線吊銅鐘","絲線吊銅鐘","千鈞一髮","Chenwujack Chen"
"7988","chhian-bān put-khó","chhian-ban7 put-kho2","tshian-bān put-khó","tshian-ban7 put-kho2","千萬不可","千萬不可","千萬不可","Chenwujack Chen"
"7989","bān-bān put-khó","ban7-ban7 put-kho2","bān-bān put-khó","ban7-ban7 put-kho2","萬萬不可","萬萬不可","千萬不可","Chenwujack Chen"
"7990","sian m̄-thang","sian m7-thang","sian m̄-thang","sian m7-thang","仙毋通","仙毋通","千萬不可","Chenwujack Chen"
"7991","chhian-bān hù ong","chhian-ban7 hu3 ong","tshian-bān hù ong","tshian-ban7 hu3 ong","千萬富翁","千萬富翁","千萬富翁","Chenwujack Chen"
"7992","chhian-pù-bān-nōa","chhian-pu3-ban7-noa7","tshian-pù-bān-nuā","tshian-pu3-ban7-nua7","千富萬爛","千富萬爛","千萬富翁","Chenwujack Chen"
"7993","saⁿ-chheng nî chi̍t pái hái-tiòng","sann-chheng ni5 chit8 pai2 hai2-tiong3","sann-tshing nî tsi̍t pái hái-tiòng","sann-tshing ni5 tsit8 pai2 hai2-tiong3","三千年一擺海漲","三千年一擺海漲","千載難逢","Chenwujack Chen"
"7994","bô thâu-cháng","bo5 thau5-chang2","bô thâu-tsáng","bo5 thau5-tsang2","無頭摠","無頭摠","千頭萬緒","Chenwujack Chen"
"7995","jû chháng chháng","ju5 chhang2 chhang2","jû tsháng tsháng","ju5 tshang2 tshang2","挐氅氅","挐氅氅","千頭萬緒","Chenwujack Chen"
"7996","kháu kháu siaⁿ siaⁿ","khau2 khau2 siann siann","kháu kháu siann siann","khau2 khau2 siann siann","口口聲聲","口口聲聲","口口聲聲","Chenwujack Chen"
"7997","chhùi-hoe","chhui3-hoe","tshuì-hue","tshui3-hue","喙花","喙花","口才","Chenwujack Chen"
"7998","ū chhùi-chúi","u7 chhui3-chui2","ū tshuì-tsuí","u7 tshui3-tsui2","有喙水","有喙水","口才流利","Chenwujack Chen"
"7999","gâu kong-ōe","gau5 kong-oe7","gâu kong-uē","gau5 kong-ue7","𠢕講話","𠢕講話","口才流利","Chenwujack Chen"
"8000","bô liàm chhùi","bo5 liam3 chhui3","bô liàm tshuì","bo5 liam3 tshui3","無殮喙","無殮喙","口不擇言","Chenwujack Chen"
"8001","chhùi khah ba̍t koh bí-thai-ba̍k pang","chhui3 khah bat8 koh bi2-thai-bak8 pang","tshuì khah ba̍t koh bí-thai-ba̍k pang","tshui3 khah bat8 koh bi2-thai-bak8 pang","喙較密閣米篩目枋","喙較密閣米篩目枋","口不擇言","Chenwujack Chen"
"8002","chhiâng-á","chhiang5-á","tshiâng-á","tshiang5-á","戕仔","戕仔","土鑿","Chenwujack Chen"
"8003","kóng-ōe bô kéng-ōe","kong2-oe7 bo5 keng2-oe7","kóng-uē bô kíng-uē","kong2-ue7 bo5 king2-ue7","講話無揀ōe","講話無揀uē","口不擇言","Chenwujack Chen"
"8004","kong-ōe bô-lûi-bô-thûi","kong-oe7 bo5-lui5-bo5-thui5","kong-uē bô-luî-bô-thuî","kong-ue7 bo5-lui5-bo5-thui5","講話無擂無槌","講話無擂無槌","口不擇言","Chenwujack Chen"
"8005","kong-ōe bô koaiⁿ āu-bóe-mûi","kong-oe7 bo5 koainn au7-boe2-mui5","kong-uē bô kuainn āu-bué-muî","kong-ue7 bo5 kuainn au7-bue2-mui5","講話無關後尾門","講話無關後尾門","口不擇言","Chenwujack Chen"
"8006","chhùi-nōa-chúi","chhui3-noa7-chui2","tshuì-nuā-tsuí","tshui3-nua7-tsui2","喙瀾水","喙瀾水","口水","Chenwujack Chen"
"8007","pháiⁿ-chhùi","phainn2-chhui3","pháinn-tshuì","phainn2-tshui3","歹喙","歹喙","口出惡言","Chenwujack Chen"
